Countries and territories,Country Code,% 0-14,% 15-64,% 65 and above,Population total,% Male,% Female,Current health expenditure (% of GDP),GDP per capita (current US$)
Sudan,SDN,40.50879187,55.91004761,3.5811605280000003,41801533.0,49.95258547,50.04741453,5.6648529000000005,977.2736357000001
Suriname,SUR,27.17026337,65.92336673,6.906369902000001,575991.0,50.28290569,49.71709431,6.06415279,6234.044922
Sweden,SWE,17.58178546,62.32268961,20.09552493,10183175.0,50.05422383,49.94577617,10.93479344,54608.36025
Switzerland,CHE,14.91095477,66.46582867,18.62321656,8516543.0,49.57287534,50.42712466,12.24760438,82796.54716
Syria,SYR,31.42154081,64.07533477,4.503124421,16906283.0,50.18578864,49.81421136,,
Tajikistan,TJK,36.78428408,60.19382837,3.021887552,9100837.0,50.41616456,49.58383544,6.99849461,826.6215305
United_Republic_of_Tanzania,TZA,44.09823815,53.30046267,2.601299178,56318348.0,49.94898909,50.05101091,4.13992059,1050.675254
Thailand,THA,17.08698882,71.01211804,11.90089314,69428524.0,48.73129539,51.26870461,3.71143463,7273.563206999999
Timor_Leste,TLS,37.78066427,57.90284343,4.316492294,1267972.0,50.54153276,49.45846724,4.02059179,2035.5339079999999
Togo,TGO,41.334523499999996,55.79600849,2.8694680110000004,7889094.0,49.73195278,50.26804722,6.61568574,679.2570836
